leg,instrument_name,strike,option_type,expiry,entry_price,entry_iv,entry_underlying,entry_gap_hours,data_quality_ok,session_start,session_close,session_type,session_dow,spot_at_open
otm_put,BTC-4NOV22-18000-P,18000.0,P,2022-11-04 08:00:00+00:00,0.0005,1.1894,20294.5,1.42,True,2022-11-03 08:00:00+00:00,2022-11-04 08:00:00+00:00,weekday,thursday,20297.06
atm_call,BTC-5NOV22-20500-C,20500.0,C,2022-11-05 08:00:00+00:00,0.0115,0.4185,20615.05,1.68,True,2022-11-04 08:00:00+00:00,2022-11-05 08:00:00+00:00,weekday,friday,20582.27
atm_put,BTC-5NOV22-20500-P,20500.0,P,2022-11-05 08:00:00+00:00,0.0045,0.3414,20620.0,0.53,True,2022-11-04 08:00:00+00:00,2022-11-05 08:00:00+00:00,weekday,friday,20582.27
otm_call,BTC-5NOV22-21500-C,21500.0,C,2022-11-05 08:00:00+00:00,0.0005,0.5046,20589.19,1.27,True,2022-11-04 08:00:00+00:00,2022-11-05 08:00:00+00:00,weekday,friday,20582.27
otm_put,BTC-5NOV22-19750-P,19750.0,P,2022-11-05 08:00:00+00:00,0.0005,0.5033,20618.84,0.9,True,2022-11-04 08:00:00+00:00,2022-11-05 08:00:00+00:00,weekday,friday,20582.27
atm_call,BTC-6NOV22-21250-C,21250.0,C,2022-11-06 08:00:00+00:00,0.0105,0.3636,21362.04,0.13,True,2022-11-05 08:00:00+00:00,2022-11-06 08:00:00+00:00,weekend,saturday,21294.97
atm_put,BTC-6NOV22-21250-P,21250.0,P,2022-11-06 08:00:00+00:00,0.0045,0.3511999999999999,21388.63,0.0,True,2022-11-05 08:00:00+00:00,2022-11-06 08:00:00+00:00,weekend,saturday,21294.97
otm_call,BTC-6NOV22-22500-C,22500.0,C,2022-11-06 08:00:00+00:00,0.0005,0.5622,21377.06,0.08,True,2022-11-05 08:00:00+00:00,2022-11-06 08:00:00+00:00,weekend,saturday,21294.97
otm_put,BTC-6NOV22-20750-P,20750.0,P,2022-11-06 08:00:00+00:00,0.0005,0.3738,21388.57,0.0,True,2022-11-05 08:00:00+00:00,2022-11-06 08:00:00+00:00,weekend,saturday,21294.97
atm_call,BTC-7NOV22-21250-C,21250.0,C,2022-11-07 08:00:00+00:00,0.0055,0.3213,21195.87,0.0,True,2022-11-06 08:00:00+00:00,2022-11-07 08:00:00+00:00,weekend,sunday,21253.58
atm_put,BTC-7NOV22-21250-P,21250.0,P,2022-11-07 08:00:00+00:00,0.008,0.3234,21200.84,0.02,True,2022-11-06 08:00:00+00:00,2022-11-07 08:00:00+00:00,weekend,sunday,21253.58
otm_call,BTC-7NOV22-22250-C,22250.0,C,2022-11-07 08:00:00+00:00,0.0005,0.5256000000000001,21253.07,1.02,True,2022-11-06 08:00:00+00:00,2022-11-07 08:00:00+00:00,weekend,sunday,21253.58
otm_put,BTC-7NOV22-20500-P,20500.0,P,2022-11-07 08:00:00+00:00,0.0005,0.4024,21195.88,0.0,True,2022-11-06 08:00:00+00:00,2022-11-07 08:00:00+00:00,weekend,sunday,21253.58
atm_call,BTC-8NOV22-20750-C,20750.0,C,2022-11-08 08:00:00+00:00,0.007,0.4053,20686.2,0.2,True,2022-11-07 08:00:00+00:00,2022-11-08 08:00:00+00:00,weekday,monday,20719.65
atm_put,BTC-8NOV22-20750-P,20750.0,P,2022-11-08 08:00:00+00:00,0.0115,0.4121,20639.39,0.45,True,2022-11-07 08:00:00+00:00,2022-11-08 08:00:00+00:00,weekday,monday,20719.65
otm_call,BTC-8NOV22-21750-C,21750.0,C,2022-11-08 08:00:00+00:00,0.0005,0.5502,20701.16,0.31,True,2022-11-07 08:00:00+00:00,2022-11-08 08:00:00+00:00,weekday,monday,20719.65
otm_put,BTC-8NOV22-19500-P,19500.0,P,2022-11-08 08:00:00+00:00,0.0005,0.6321,20661.49,0.37,True,2022-11-07 08:00:00+00:00,2022-11-08 08:00:00+00:00,weekday,monday,20719.65
atm_call,BTC-9NOV22-19750-C,19750.0,C,2022-11-09 08:00:00+00:00,0.01,0.5149,19727.52,0.87,True,2022-11-08 08:00:00+00:00,2022-11-09 08:00:00+00:00,weekday,tuesday,19735.19
atm_put,BTC-9NOV22-19750-P,19750.0,P,2022-11-09 08:00:00+00:00,0.01,0.5031,19757.51,1.26,True,2022-11-08 08:00:00+00:00,2022-11-09 08:00:00+00:00,weekday,tuesday,19735.19
otm_call,BTC-9NOV22-21000-C,21000.0,C,2022-11-09 08:00:00+00:00,0.0005,0.6792,19719.77,1.05,True,2022-11-08 08:00:00+00:00,2022-11-09 08:00:00+00:00,weekday,tuesday,19735.19
otm_put,BTC-9NOV22-17000-P,17000.0,P,2022-11-09 08:00:00+00:00,0.0005,1.4121,19729.55,0.79,True,2022-11-08 08:00:00+00:00,2022-11-09 08:00:00+00:00,weekday,tuesday,19735.19
atm_call,BTC-10NOV22-18250-C,18250.0,C,2022-11-10 08:00:00+00:00,0.016,1.2674,17854.37,1.66,True,2022-11-09 08:00:00+00:00,2022-11-10 08:00:00+00:00,weekday,wednesday,18136.88
atm_put,BTC-10NOV22-18250-P,18250.0,P,2022-11-10 08:00:00+00:00,0.048,1.4144,17685.96,1.85,True,2022-11-09 08:00:00+00:00,2022-11-10 08:00:00+00:00,weekday,wednesday,18136.88
